medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,JKQ
"405339016","G66","G66..00","230690007","345637012","cerebrovascular accident","1"
"4056971000006118","^ESCTTH405697","","95455008","158110019","thrombosis of cerebral veins",""
"4057031000006117","^ESCTBR405703","","95457000","158114011","brain stem infarct","1"
"4057041000006110","^ESCTBR405704","","95457000","2966556014","brain stem stroke","1"
"4057051000006112","^ESCTIN405705","","95457000","2966602014","infarction of brain stem","1"
"407291000006117","Gyu6A","Gyu6A00","62914000","104563015","[x]other cerebrovascular disorders in diseases ce",""
"411032016","12C4-2","12C4.12","275104002","411032016","fh: stroke",""
"411416011","L440-2","L440.12","275434003","411416011","stroke in the puerperium",""
"411518010","14A7-1","14A7.11","275526006","411518010","h/o: cva",""
"413750011","1M4","1M4..00","277286006","413750011","central post-stroke pain",""
"415873013","F11z-1","F11z.11","278849000","415873013","cerebral atrophy",""
"416991000006112","Fyu55","Fyu5500","266257000","395788015","transient cerebral ischemia","2"
"417171000006111","Fyu57","Fyu5700","62914000","104563015","[x]other vascular syndroms/brain in cerebrovasculr diseases","2"
"4193641000006111","^ESCTNO419364","","111297002","178528011","nonparalytic stroke","2"
"426321000006116","Gyu6C","Gyu6C00","195239002","300403014","[x]sequelae of stroke,not specfd as h'morrhage or infarction",""
"426481000006114","Gyu6D","Gyu6D00","195239002","300403014","[x]sequelae/other + unspecified cerebrovascular diseases",""
"4411861000006113","^ESCTCE441186","","128608001","206991017","cerebral arterial aneurysm",""
"449935012","8Hd6","8Hd6.00","306803007","449935012","admission to stroke unit","2"
"451133011","G64z2","G64z200","307766002","451133011","left sided cerebral infarction","1"
"451134017","G64z3","G64z300","307767006","451134017","right sided cerebral infarction","1"
"451368019","1477","1477.00","308064009","451368019","h/o: cerebrovascular disease",""
"451371010","14AK","14AK.00","308067002","451371010","h/o: stroke in last year",""
"456073018","F4836","F483600","312372003","456073018","cerebral akinetopsia",""
"45851000006116","7A23z","7A23z00","265500000","394310014","operation on cerebral artery/ circle of willis aneurysm nos",""
"45861000006119","7A23y","7A23y00","265500000","394310014","operation on cerebral artery/ circle of willis aneurysm os",""
"4644401000006115","^ESCTIN464440","","171520005","265751012","insertion of antisyphon device into ventricular shunt",""
"4700881000006118","^ESCTEN470088","","181312002","3326971010","entire mca - middle cerebral artery",""
"47484015","G674","G674.00","28366008","47484015","cerebral arteritis",""
"4759821000006115","^ESCTGL475982","","190794006","293333016","glucocerebrosidosis",""
"4778181000006119","^ESCTLE477818","","195216008","300369014","left sided cerebral hemisphere cerebrovascular accident","1"
"4778201000006118","^ESCTRI477820","","195217004","300372019","right sided cerebral hemisphere cerebrovascular accident","1"
"4778311000006112","^ESCTSE477831","","195239002","300404015","sequelae of cerebrovascular disease",""
"477983010","70123","7012300","16900000","477983010","renewal of cerebroventricular shunt",""
"47937012","F11y1","F11y100","28634005","47937012","cerebral ataxia",""
"482734019","B515","B515.00","363471001","482734019","malignant neoplasm of cerebral ventricles",""
"491461000006118","7A254","7A25400","3258003","485262015","arteriography of cerebral artery",""
"498971000006114","7011-1","7011.11","302325008","443934017","attention to component of cerebroventricular shunt",""
"5010981000006119","^ESCTST501098","","230690007","345636015","stroke","1"
"5011041000006118","^ESCTAN501104","","230693009","345640012","anterior cerebral circulation infarction","1"
"5011051000006116","^ESCTTO501105","","230694003","345644015","total anterior cerebral circulation infarction","1"
"5011061000006119","^ESCTTA501106","","230694003","345641011","taci - total anterior cerebral circulation infarction","1"
"5011071000006114","^ESCTTO501107","","230694003","345642016","total anterior cerebral circulation stroke","1"
"5011081000006112","^ESCTTA501108","","230694003","345643014","tacs - total anterior cerebral circulation stroke","1"
"5011091000006110","^ESCTPA501109","","230695002","345645019","partial anterior cerebral circulation infarction","1"
"5011101000006116","^ESCTPA501110","","230695002","345646018","paci - partial anterior cerebral circulation infarction","1"
"5011111000006118","^ESCTPA501111","","230695002","345647010","partial anterior cerebral circulation stroke","1"
"5011121000006114","^ESCTPA501112","","230695002","345648017","pacs - partial anterior cerebral circulation stroke","1"
"5011131000006112","^ESCTPO501113","","230696001","345649013","posterior cerebral circulation infarction","1"
"5011141000006119","^ESCTPO501114","","230696001","2966565019","posterior cerebral circulation stroke","1"
"5011161000006115","^ESCTLA501116","","230698000","345652017","lacunar stroke","1"
"5011171000006110","^ESCTLA501117","","230698000","345653010","laci - lacunar infarction","1"
"5011191000006111","^ESCTPU501119","","230699008","345656019","pure motor lacunar infarction","1"
"5011211000006112","^ESCTPU501121","","230700009","345657011","pure sensory lacunar infarction","1"
"5011231000006118","^ESCTPU501123","","230701008","345659014","pure sensorimotor lacunar infarction","1"
"5011451000006114","^ESCTST501145","","230713003","345680015","stroke of uncertain pathology","1"
"5011461000006111","^ESCTAN501146","","230714009","345681016","anterior circulation stroke of uncertain pathology","1"
"5011471000006116","^ESCTPO501147","","230715005","345682011","posterior circulation stroke of uncertain pathology","1"
"5011861000006114","^ESCTAS501186","","230738008","345721013","asymptomatic cerebrovascular disease",""
"5013671000006119","^ESCTRE501367","","230879004","345905014","removal of shunt tubing from ventricle of brain",""
"5049061000006114","^ESCTEM504906","","233317001","349598015","embolisation of intracranial artery",""
"5049071000006119","^ESCTEM504907","","233317001","349597013","embolization of intracranial artery",""
"5058411000006114","^ESCTRU505841","","233983001","350578011","ruptured cerebral aneurysm",""
"506344012","7A232","7A23200","85028008","506344012","clipping of aneurysm of cerebral artery",""
"5165331000006118","^ESCTMR516533","","241664002","361801016","mri of cerebral vessels",""
"524321000006119","S61yz","S61yz00","269144002","402921014","brain cont + open intracranial wound + concussion unspec",""
"524331000006116","S61y6","S61y600","269144002","402921014","brain cont + open intracranial wound + loc unspec duration",""
"524351000006111","S61y0","S61y000","269144002","402921014","brain cont + open intracranial wound + unspec state consc",""
"524401000006115","S61xz","S61xz00","269144002","402921014","brain cont no open intracranial wound + concussion unspec",""
"524411000006117","S61x6","S61x600","269144002","402921014","brain cont no open intracranial wound + loc unspec duration",""
"524541000006117","G64z0","G64z000","95457000","158113017","brain stem infarction","1"
"5291741000006114","^ESCTCE529174","","250846007","373942014","cerebral perfusion pressure",""
"5291751000006111","^ESCTCP529175","","250846007","1224503017","cpp - cerebral perfusion pressure",""
"5326301000006115","^ESCTCO532630","","253153000","377042010","cortical dysplasia",""
"538771000006114","7A2y","7A2y.00","175362007","1489749016","carotid, cerebral and subclavian artery operations os",""
"542261000006114","G6W","G6W..00","125081000119106","3042974014","cerebral infarction due to occlusion of precerebral artery","1"
"542501000006110","7A23","7A23.00","265500000","394310014","operations on aneurysm of cerebral artery or circle of willis",""
"542511000006113","7A23-1","7A23.11","265500000","394310014","cerebral artery aneurysm operations",""
"542541000006112","F23-4","F23..14","128188000","206411014","cerebral atonia",""
"542781000006113","F11x","F11x.00","192794001","2575727019","cerebral degeneration associated with another disorder",""
"542831000006116","G641-1","G641.11","75543006","125470015","cerebral embolus","1"
"542991000006113","F101","F101.00","14210003","24174013","cerebral lipidoses",""
"543041000006111","B5832","B583200","94248000","1235820013","cerebral metastases",""
"543141000006110","G6X","G6X..00","20059004","33759015","cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs",""
"543251000006116","L440","L440.00","6594005","11941010","cerebrovascular disorder in the puerperium",""
"5455801000006110","^ESCTCO545580","","262689001","390675013","contusion of cerebrum",""
"5455811000006113","^ESCTCE545581","","262689001","390676014","cerebral contusion",""
"5475241000006111","^ESCTCE547524","","264349002","392768012","cerebral function analysing monitor",""
"5484131000006117","^ESCTRE548413","","265221001","393889018","removal of cerebral ventricular shunt",""
"5492171000006112","^ESCTTI549217","","266257000","395781014","tia","2"
"5492201000006111","^ESCTTI549220","","266257000","395784018","tia - transient ischaemic attack","2"
"5492221000006118","^ESCTTR549222","","266257000","395787013","transient ischemic attack","2"
"557541000006111","7A23-2","7A23.12","265500000","394310014","circle of willis aneurysm operations",""
"5582311000006110","^ESCTOC558231","","276219001","412270012","occipital cerebral infarction","1"
"5582901000006111","^ESCTUN558290","","276270005","412341017","unruptured aneurysm of middle cerebral artery",""
"5587541000006115","^ESCTCE558754","","276596008","412810011","cerebral irritation",""
"5591251000006111","^ESCTPR559125","","276836002","413155010","primary cerebral lymphoma",""
"5597481000006114","^ESCTRU559748","","277315000","413793011","ruptured aneurysm of anterior cerebral artery",""
"5597491000006112","^ESCTRU559749","","277316004","413794017","ruptured aneurysm of middle cerebral artery",""
"5599881000006118","^ESCTCE559988","","277476007","414014017","cerebral ventricular distension",""
"5611061000006113","^ESCTEN561106","","278251007","415100010","entire cerebral hemisphere",""
"5649201000006113","^ESCTEX564920","","281240008","419214014","extension of cerebrovascular accident","1"
"5653361000006116","^ESCTCO565336","","281589002","419631013","conversion of ventricular shunt",""
"5726831000006118","^ESCTCE572683","","287731003","427284014","cerebral ischaemia","1"
"5866391000006119","^ESCTST586639","","299403002","440315013","stroke test positive",""
"5866401000006117","^ESCTST586640","","299404008","440316014","stroke test negative",""
"5870291000006116","^ESCTFI587029","","299719008","440684013","finding of cerebral dominance",""
"5905541000006118","^ESCTPR590554","","302325008","443934017","procedure on a brain ventricular shunt",""
"594191000006113","70113","7011300","281589002","419631013","conversion of cerebroventricular shunt nec",""
"5960821000006117","^ESCTRE596082","","306802002","449934011","referral to stroke service","2"
"5960971000006110","^ESCTSE596097","","306810001","449946010","seen by stroke service","2"
"5967391000006111","^ESCTMU596739","","307363008","450609012","multiple lacunar infarcts","1"
"597741000006113","S6102","S610200","209834008","320602018","cortex cont no open intracranial wnd + <1hr loss of consc",""
"597751000006110","S6104","S610400","209834008","320602018","cortex cont no open intracranial wnd + >24 hr loc + recovery",""
"597761000006112","S6103","S610300","209834008","320602018","cortex cont no open intracranial wnd + 1-24hrs loss of consc",""
"597771000006117","S610z","S610z00","209834008","320602018","cortex cont no open intracranial wnd + concussion unspec",""
"597781000006119","S6106","S610600","209834008","320602018","cortex cont no open intracranial wnd + loc unspec duration",""
"597791000006116","S6101","S610100","209834008","320602018","cortex cont no open intracranial wnd + no loss of consc",""
"597801000006115","S6100","S610000","209834008","320602018","cortex cont no open intracranial wnd + unspec state consc",""
"597811000006117","S6105","S610500","209834008","320602018","cortex cont no open intracranial wnd +>24hr loc not restored",""
"5994741000006112","^ESCTST599474","","309966001","453493011","stroke unit","2"
"5996861000006112","^ESCTST599686","","310137004","453716018","stroke service","2"
"6044961000006114","^ESCTBR604496","","314302003","458642014","branch of middle cerebral artery",""
"605461000006117","G64-1","G64..11","230691006","345638019","cva - cerebrovascular accident due to cerebral artery occlusion","1"
"605481000006110","L440-1","L440.11","275434003","411416011","cva - cerebrovascular accident in the puerperium",""
"605491000006113","G66-3","G66..13","230690007","345635016","cva - cerebrovascular accident","1"
"605501000006117","G66-1","G66..11","230690007","345637012","cva unspecified","1"
"6321781000006118","^ESCTLE632178","","369301009","513097012","left posterior cerebral artery",""
"6322771000006112","^ESCTRI632277","","369352006","513244014","right middle cerebral artery",""
"6322791000006113","^ESCTLE632279","","369353001","513246011","left middle cerebral artery",""
"6348291000006115","^ESCTTH634829","","371040005","1209750017","thrombotic stroke","1"
"6348301000006119","^ESCTEM634830","","371041009","1209751018","embolic stroke","1"
"640951000006111","F0320","F032000","53622003","89147017","encephalitis due to malaria",""
"6837051000006119","^ESCTBA683705","","413102000","2966612019","basal ganglion stroke",""
"6837061000006117","^ESCTBA683706","","413102000","2966650013","basal ganglion infarct",""
"6837371000006110","^ESCTST683737","","413124000","2469839018","stroke / transient ischemic attack referral","2"
"6837381000006113","^ESCTST683738","","413124000","2694676019","stroke/transient ischemic attack referral","2"
"6846141000006118","^ESCTCA684614","","413758000","2535208016","cardioembolic stroke","1"
"6847241000006113","^ESCTCE684724","","413808003","2532940015","cerebral ventriculomegaly",""
"6908391000006111","^ESCTST690839","","417540008","2548591019","stroke/transient ischaemic attack monitoring invitation","2"
"6990981000006114","^ESCTIS699098","","422504002","2644234018","ischaemic stroke","1"
"6990991000006112","^ESCTIS699099","","422504002","2644233012","ischemic stroke","1"
"7054171000006115","^ESCTAC705417","","426107000","2674093010","acute lacunar infarction","1"
"7067811000006116","^ESCTCE706781","","427020007","2674128012","cerebral vasculitis",""
"7071901000006111","^ESCTTH707190","","427296003","2674127019","thalamic infarction",""
"7071911000006114","^ESCTTH707191","","427296003","2966596011","thalamic stroke","1"
"7217961000006118","^ESCTPE721796","","439056009","2793608013","percutaneous balloon assisted coil embolisation of cerebral aneurysm using fluoroscopic guidance",""
"7285511000006116","^ESCTCE728551","","443929000","2840867019","cerebral small vessel disease","1"
"7289121000006119","^ESCTRE728912","","444172003","2840804011","recurrent transient cerebral ischaemic attack",""
"7289131000006116","^ESCTRE728913","","444172003","2840805012","recurrent transient cerebral ischemic attack","2"
"730631000006118","F0320-1","F032011","53622003","89147017","malarial encephalitis",""
"7339271000006112","^ESCTCO733927","","447396006","2882383015","concussion injury of cerebrum",""
"7339281000006110","^ESCTCE733928","","447396006","2882382013","cerebral concussion",""
"7382631000006110","^ESCTNA738263","","450741005","2916763010","national institutes of health stroke scale",""
"740431000006115","F23-3","F23..13","128188000","206411014","littles disease",""
"7515281000006115","^ESCTMU751528","","698970007","2981993016","multiple lacunar infarcts","1"
"7519441000006112","^ESCTCE751944","","699270006","2983532010","cerebrovascular accident annual review","2"
"7525971000006116","^ESCTEM752597","","699706000","2985799016","embolism of middle cerebral artery","1"
"7568281000006111","^ESCTST756828","","702924006","3006454013","stroke clinic","2"
"75861010","C373M","C373M00","45502001","75861010","cerebrovascular amyloidosis",""
"7597121000006117","^ESCTST759712","","705003005","3015181015","stroke impact scale version 3.0",""
"7598981000006119","^ESCTCE759898","","705128004","3023367013","cerebral infarction due to embolism of middle cerebral artery","1"
"7598991000006116","^ESCTTH759899","","705129007","3023377010","thrombosis of middle cerebral artery","1"
"7599001000006116","^ESCTCE759900","","705130002","3023374015","cerebral infarction due to thrombosis of middle cerebral artery","1"
"7618821000006118","^ESCTST761882","","707514001","3030432017","stroke impact scale version 3.0 score",""
"7699511000006117","^ESCTDI769951","","713081000","3287975015","dissection of cerebral artery",""
"7703601000006113","^ESCTPO770360","","713410003","3289241018","post stroke pain",""
"773061000006110","70112","7011200","171520005","265751012","insertion of antisyphon device into cerebroventricular shunt",""
"78268012","S630-1","S630.11","46966000","78268012","cerebral compression due to injury",""
"7839991000006115","^ESCTSI783999","","723082006","3334556014","silent cerebral infarct","1"
"7855631000006111","^ESCTCE785563","","724424009","3438036013","cerebral ischaemic stroke due to small artery occlusion","1"
"7861341000006115","^ESCTEP786134","","724787004","3481697010","epilepsy due to stroke",""
"787091000006115","SN201-1","SN20111","52072009","86678016","ictus solaris",""
"800691000006113","G671","G671.00","302909007","444905019","diffuse cerebrovascular disease",""
"8011371000006117","^ESCTSE801137","","23671000119107","2967516015","sequela of ischaemic cerebral infarction",""
"8026451000006117","^ESCTDN802645","","88601000000107","1681231000000118","dna (did not attend) stroke clinic",""
"8044481000006118","^ESCTIS804448","","140921000119102","2967538018","ischaemic stroke without coma","1"
"809421000006116","14A7","14A7.00","275526006","2986886017","history of cerebrovascular accident",""
"8195431000006118","^ESCTST819543","","519751000000106","1550221000000113","stroke/cerebrovascular accident 6 month review",""
"8196061000006110","^ESCTDI819606","","521411000000106","1164231000000119","did not attend stroke review",""
"8221321000006118","^ESCTST822132","","720191000000104","1574361000000119","stroke and tia","1"
"8264201000006110","^ESCTMA826420","","816241000000109","2127101000000118","management of stroke rehabilitation","2"
"8265471000006116","^ESCTAC826547","","817701000000103","2130091000000112","acute stroke care","1"
"8274811000006116","^ESCTST827481","","828261000000103","2153471000000113","stroke medicine","1"
"841051000006113","G678","G678.00","390936003","1477210016","cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy",""
"8453821000006113","^ESCTEM845382","","1078671000000108","2704231000000114","emergency hospital admission to stroke service","1"
"857471000006118","EMISNO5","","857471000006102","857471000006118","no h/o: cva/stroke",""
"857521000006115","EMISNOFH4","","857521000006104","857521000006115","no fh: cva/stroke",""
"865211000006110","7925-99","7925.99","175045009","865211000006110","heart: int. mammary a implant",""
"865981000006114","7A232-99","7A23299","85028008","865981000006114","clipping - aneurysm",""
"884491000006117","G63z-99","G63z.99","584161000000109","884491000006117","precerebral a. occlusion nos",""
"884501000006113","G64z-99","G64z.99","682621000000105","884501000006113","cerebral a. occlusion nos",""
"884521000006115","G66-98","G66..98","685631000000102","884521000006115","stroke/cva - undefined","1"
"884531000006117","G66-99","G66..99","685631000000102","884531000006117","stroke","1"
"884551000006112","G673-99","G673.99","42994005","884551000006112","cerebral aneurysm-non ruptured",""
"884561000006114","G68-99","G68..99","195239002","884561000006114","cerebrovasc. dis. late effects",""
"89147017","A8491","A849100","53622003","89147017","cerebral malaria",""
"896521000006112","S61-99","S61..99","269144002","896521000006112","cerebral laceration/contusion",""
"896531000006110","S62-99","S62..99","82894007","896531000006110","cerebral h'ge after injury",""
"896541000006117","S64z-99","S64z.99","684491000000102","896541000006117","intracerebral injury nos",""
"89871000006118","7A25z","7A25z00","265502008","394312018","transluminal operation on cerebral art/circle of willis nos",""
"89881000006115","7A25y","7A25y00","265502008","394312018","transluminal operation on cerebral art/circle of willis os",""
"900001000006119","SP003-99","SP00399","213037002","900001000006119","bypass graft mech. complic.",""
"90011000006112","7A25","7A25.00","265502008","394312018","transluminal operations on cerebral artery or circle of willis",""
"903411000006115","70122-99","7012299","171529006","903411000006115","therap.brain ventric.shunt asp",""
"903421000006111","70123-99","7012399","16900000","903421000006111","ex-cran.ventric.shunt replaced",""
"905851000006115","HNG0056","","905851000006104","905851000006115","[rfc] long-term effect of cerebral heamorrhage",""
"907581000006119","HNG0234","","907581000006103","907581000006119","[rfc] stroke/cva","1"
"907591000006116","HNG0235","","907591000006100","907591000006116","[rfc] stroke","1"
"908801000006114","HNG0602","","908801000006105","908801000006114","[rfc] stroke","1"
"909171000006115","HNGP003","","909171000006104","909171000006115","[rfc] cva","1"
"928621000006111","C3151","C315100","39925003","1229580019","melas - mitochondrial encephalopathy, lactic acidosis and stroke-like episodes",""
"940051000006114","EMISNQST1","","940051000006105","940051000006114","stroke monitoring administration","2"
"940061000006111","EMISNQST2","","940061000006107","940061000006111","stroke monitoring invite 1","2"
"940071000006116","EMISNQST3","","940071000006100","940071000006116","stroke monitoring invite 2","2"
"940081000006118","EMISNQST4","","940081000006102","940081000006118","stroke monitoring invite 3","2"
"95931000006111","G65z","G65z.00","266257000","395788015","transient cerebral ischaemia nos","2"
"968341000006116","EMISNQAN3","","968341000006100","968341000006116","annual stroke/cva blood test",""
"986831000006115","9Om3","9Om3.00","417059002","2549607012","stroke/transient ischaemic attack monitoring verbal invitation","2"
"988951000006117","G65-99","G65..99","266257000","988951000006117","transient ischaemic attacks","2"
"990131000006113","S61z-99","S61z.99","566951000000103","990131000006113","intracerebral injury nos",""
"9912271000006112","^ESCTCE991227","","16371781000119100","3320493016","cerebellar stroke","1"
"13909901000006119","^ESCT1390990","","788884002","3786072018","Cerebral ischaemic stroke co-occurrent with subarachnoid haemorrhage","1"
"1573101000006112","EMISNQCE4","","1573101000006108","1573101000006112","Cerebral infarction with haemorrhagic transformation","1"
"2127781000000110","662M2","662M200","816561000000108","2127781000000110","Stroke initial post discharge review","2"
"2548554013","662o","662o.00","417506008","2548554013","Haemorrhagic stroke monitoring","2"
"300277011","G617","G617.00","195168007","300277011","Intracerebral haemorrhage, intraventricular","2"
"300362017","G660","G660.00","195209007","300362017","Middle cerebral artery syndrome","1"
"300363010","G661","G661.00","195210002","300363010","Anterior cerebral artery syndrome","1"
"300364016","G662","G662.00","195211003","300364016","Posterior cerebral artery syndrome","1"
"300366019","G664","G664.00","195213000","300366019","Cerebellar stroke syndrome","1"
"345675012","G619","G619.00","230710000","345675012","Lobar cerebral haemorrhage","1"
"3546067011","^ESCT1173301","","16549441000119102","3546067011","Radionuclide scan of cerebrospinal fluid flow of brain using indium 111","1"
"4777861000006119","^ESCTIN477786","","195168007","2915438018","Intracerebral haemorrhage with intraventricular haemorrhage","2"
"4777881000006112","^ESCTIN477788","","195169004","300280012","Intracerebral haemorrhage, multiple localised","2"
"5011291000006119","^ESCTHA501129","","230706003","345667018","Haemorrhagic cerebral infarction","1"
"5011331000006114","^ESCTAN501133","","230707007","345668011","Anterior cerebral circulation haemorrhagic infarction","1"
"5011351000006119","^ESCTPO501135","","230708002","345671015","Posterior cerebral circulation haemorrhagic infarction","1"
"524511000006116","G663","G663.00","195212005","300365015","Brainstem stroke syndrome","1"
"966981000006112","8HHM","8HHM.00","112901000000108","199461000000113","Referral to multidisciplinary stroke function improvement service","2"
